1,NSO to PO,Foyer,Stairwell,All rails to be wrap from upper to lower stair case. Oak treads at Lower Level stairs. Box ceiling at Second Floor at top of stairs. The font of the house will be enlarged by 2'.
3,NSO to PO,Garage,Garage,4 car garage
11,NSO to PO,Formal Powder Rm,Full Bath ILO of Powder Room,"Full Bath to be enlarged per plan. Full Bath to includes 36"" Vanity cabinet with cultured marble top and standard faucet (chrome) with vanity mirror, tile shower floor and walls to 6' high. glass shower door w/ shower control, (1) Amer. Std. Colony Toilet, Std. 12x12 tile and, Std. Elec.to code."
14,NSO to PO,2nd Powder Rm,Mudroom,"Includes vanity cabinet(size per plan) with cultured marble top and Faucet(chrome) with mirror above vanity. (1) Standard Toilet. Electric per code includes (1) light box, (1) switch, (1) fan, and (1) receptacle."
16,NSO to PO,Attic,Finish Attic Storage,Finished optional attic storage area for 4th Bedroom Sitting Room and add twin window. All standard finishing to apply.
17,NSO to PO,Master Bedroom,Master Bedroom,supply and install clear glass 5' x 5' fixed glass window on rear wall center between standard single windows
20,Buyer Accepted,General,Interior Doors,upgrade to Monroe 2 panel flat panel doors throughout
21,NSO to PO,Exterior - Home,Windows,Upgrade the Exterior and Interior of all windows and transoms to Black. Windows to be Marvin's Integrity Windows. Some windows and transom sizes may vary from standard United Windows.
22,NSO to PO,Mudroom,Mudroom,extend and enlarge Mudroom 2' out the front of the house to include all standard finishes.
23,NSO to PO,Basement,Basement,"10' High x 10"" thick reinforced concrete walls with added bracing at 1st Floor. Per Engineered Design."
24,NSO to PO,Morning Rm,Morning Room,add one additional at 8' High slider ILO window at Screened Porch side and other slider a 8' high Marvin Black (interior & exterior) with Clear Glass.
25,Buyer Accepted,Exterior - Home,Windows,"add Marvin Black (interior & exterior) Transomes over windows in Study, Family Room and Morning Room"
28,Released,Family Rm,Family Room,"2"" Quarry Cut stone, stone selection is Ohio White Squares & Strips, wall floor to ceiling, at fireplace location. Area to be roughly 15' wide and 10' high no recessed area for built ins, to include area for log storage, Napoleon Vector 62 with electronic ignition, a multi-functional remote with accent lighting. Design as per drawing. Pricing to include additional support for stone in basement floor system."
30,Buyer Accepted,General,Hardware,Sorrento Square Rose Aged Black w/ Square Rose
31,NSO to PO,Foyer,Staircase,upgrade to wrought iron balusters with painted newel posts with stained railings. Wrought Iron Balusters style to be Straight in Black.
32,NSO to PO,Exterior - Home,Front Exterior,"as per drawing dated 7/24/20. Metal roof at PR location, horizontal siding at upper foyer location, B&B at garage, PR location, LR location, Bedrm 2 peak, Bedrm 3 front. Garage & bedrm 4 location. Delete all shutters",/english_exec/docmgmt-common?op=entity_list_show&nso_id=1986081&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
33,NSO to PO,Garage,Garage doors,"Two Double Doors 8' high Wayne Dalton 6600 Carriage House Garage Doors. Door style to be Bellview Square Top, Texture to be Wood Grain, Color to be Black, Window style to be Stockton, No Hardware"
35,NSO to PO,Foyer,Exterior,Upgrade Front door to 6-0 x 8-0 ThermaTru Fiber Classic Oak FC8000 12 Lite French Double Door Low E w/ bronze airspace grill.
36,Buyer Accepted,Exterior - Land,Exterior Land,Per Future Pool Design and enlarge Storm Water Recharge Bed for Future Impervious Surface and Enlarged Piping. System to be enlarged for future expansion of impervious surface. This additional volume is for a future expansion and future pool. Pricing is subjected to final design and township approval. Buyer to be provided an approved plan by the township once it is approved.
37,NSO to PO,Foyer,Stairs,Upgrade Main and Basements Steps White Oak Treads and Painted Risers ILO Red Oak Main and Basement Steps
38,NSO to PO,Master Bath,Window,"supply & install approx. 24"" x 24"" Untied vinyl tempered glass non-operable window, Black exterior / White in Master Shower on back wall with bench ILO small Master Bedroom window on side wall"
39,NSO to PO,Selections,Plumbing,selections as per proposal dated 8/20/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1989915&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
40,Buyer Accepted,Selections,Cabinetry,selections as per proposal dated 10/1/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1991801&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
42,NSO to PO,Selections,Plumbing,Butler's Pantry as per selections dated 10/6/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1992028&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
43,NSO to PO,Selections,Plumbing,Options Labor for Butler's Pantry Ice Maker
44,NSO to PO,Basement,Finished Lower Level,"Insulation, std. HVAC, std carpet, 3 interior two panel doors, drywall ceiling, framing, drywall, painting. Electric to code. Lighting - 1 recess/100 sq ft. , 5"" baseboard, 3 1/2"" casing. Final layout to be determined at Redline Structural Meeting"
45,Buyer Accepted,Selections,HVAC,"supply & Install One (1) Bypass Humidifier, installed in first floor unit ($833) and Two (2) Media Air Cleaners, one on each unit ($650/each)"
46,Buyer Accepted,General,Millwork,"Delete Crown Molding in Living Room & Dining Room, Delete Chair Rail in Dining Room. Supply & Install Square Door Stop Baseboard in all Hardwood Areas."
47,NSO to PO,General,Gas Line,Supply & Install Gas Line for Generator
48,Buyer Accepted,Selections,Plumbing,Basement Bath as per proposal dated 10/19/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1993099&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
